cableId,factor
1,1.0
2,2.0
3,1.0
4,2.504580152671756
5,2.464936404262633
6,49.022813688212935
7,8.275353016688062
8,2.0001394700139468
9,2.0
10,2.5262814234410707
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,1.9998202408772243
3,1.0
4,4.128014842300557
5,7.26701231367466
6,4.127868852459017
7,49.46071428571429
8,1.9998216515070446
9,2.356507059545734
10,1.999869757749414
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.530068932731162
5,2.3912268188302424
6,8.146619496855346
7,4.68785342682651
8,1.9997017596182523
9,2.0
10,2.2749522652317307
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,9.310344827586208
5,2.4741791520561045
6,3.8679460817911813
7,4.610566448801744
8,2.0001288493750806
9,2.4638447971781305
10,1.9998698594482038
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0006609385327163
3,1.0
4,4.751962323390894
5,2.0
6,9.039277297721917
7,2.3809228222636043
8,5.571753986332575
9,4.365377100429855
10,1.9998209810239884
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,3.7641277641277635
5,2.0
6,2.0755248335893492
7,3.9662426614481405
8,2.1276150627615062
9,2.0
10,2.3775368362524327
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,1.9997179125528912
3,1.0
4,7.983108108108108
5,2.0
6,3.699707451385304
7,2.7891800726517904
8,2.891645988420182
9,4.315104166666667
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,1.9998831775700936
3,1.0
4,2.3730246742445247
5,1.999705535924617
6,3.7448698315467075
7,3.831714196176747
8,3.2680461982675646
9,3.3593692702603595
10,1.9997817070508621
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.293022381041941
3,1.0
4,2.0
5,2.258850478967097
6,6.385792778649922
7,3.19603221371047
8,2.0001843997787203
9,3.1373626373626378
10,2.0007007708479327
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,5.787644787644788
3,1.0
4,1.9986666666666666
5,2.2084993359893756
6,3.3699540112416964
7,2.2663230240549828
8,2.0
9,2.2351694915254234
10,1.999620924943139
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.000149543891132
3,1.0
4,3.910818713450292
5,2.687735139202408
6,16.24159021406728
7,2.30412147505423
8,2.0
9,1.9998465316144876
10,2.553595923966294
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,7.446852425180599
3,1.0
4,2.0
5,2.0
6,3.4370416601653924
7,2.9575725026852844
8,2.1920697412823396
9,5.887361184558435
10,1.9998203700377222
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.214262769033087
3,1.0
4,1.9997098926602845
5,2.045809852754045
6,14.733490566037736
7,2.7019896193771626
8,2.0
9,2.0003388681802776
10,6.723234624145786
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0001937608990508
3,1.0
4,29.24362606232295
5,2.0
6,3.786997433704021
7,3.281082082638503
8,3.110441767068273
9,2.531291611185087
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,6.648233486943165
3,1.0
4,2.0
5,4.588079969822708
6,10.532385466034755
7,2.247555905157883
8,1.9998355804011838
9,2.0
10,3.3041009463722397
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.9288177339901478
3,1.0
4,2.0001682085786374
5,2.7378232110643417
6,2.895334848282315
7,54.285714285714285
8,1.9995608256477821
9,2.6510936504565725
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,1.9998857795545404
3,1.0
4,2.023226253755489
5,22.89084507042254
6,2.79062043310748
7,11.160998937300745
8,1.9996924023377425
9,2.0002241147467505
10,3.6788953009068424
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.623849964614296
5,2.0
6,31.490939044481053
7,2.099395936298737
8,4.528925619834712
9,17.293706293706293
10,2.000809061488673
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.0673436664885085
5,2.0
6,5.326666666666667
7,3.186440677966102
8,3.63968824940048
9,2.0
10,6.836923076923076
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,8.334801762114537
5,2.0
6,9.197304582210243
7,2.763810140936336
8,2.0230200054809533
9,2.1466912248388366
10,1.999877435960289
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.6954887218045114
3,1.0
4,2.0
5,2.0002163565556037
6,7.50892857142857
7,5.225310660562459
8,2.087378640776699
9,2.6535530746057066
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.5565302144249515
5,2.0
6,3.103403625601184
7,3.246323529411765
8,6.200716845878136
9,5.24343675417661
10,2.000910746812386
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,3.011143210895584
5,2.0
6,9.34517342248224
7,5.930257226199947
8,8.277442702050665
9,2.4342318934719067
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.284162139573757
5,3.0831633809200087
6,4.831366965012205
7,9.343430369787567
8,2.0
9,2.546558704453441
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,1.9997764863656682
3,1.0
4,5.509236453201971
5,2.000223763705527
6,2.2929226736566184
7,17.925204918032787
8,6.924089852827266
9,2.7700887776007286
10,1.999835661462613
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,3.519722975007528
3,1.0
4,2.000171115674196
5,2.000189000189
6,4.046978851963747
7,2.8245651027938856
8,18.599297012302284
9,3.6251815980629543
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.43581589958159
5,2.000506585612969
6,2.626415094339623
7,7.367130919220057
8,2.794762915782024
9,2.0
10,8.135254988913525
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,16.495098039215684
3,1.0
4,2.0
5,5.912121212121212
6,14.103578154425612
7,2.0
8,2.0003417634996583
9,3.0406269993602044
10,1.999789606564275
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,10.590147783251231
3,1.0
4,1.999813953488372
5,2.0
6,12.16335540838852
7,15.49929676511955
8,3.191081275473507
9,2.0001371365880414
10,2.5404981710503396
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0001276487107478
3,1.0
4,2.524001288659794
5,2.0512959696023882
6,10.463082437275986
7,2.9338693467336685
